subject,session,minutes,trials,labels_in_file,left_hand,right_hand,feet,tongue,rejected_trials,clipped_trials
A01,T,44.8,288,yes,72,72,72,72,15,0
A01,E,45.8,288,no (cue 783),0,0,0,0,7,0
A02,T,45.1,288,yes,72,72,72,72,18,0
A02,E,44.2,288,no (cue 783),0,0,0,0,5,0
A03,T,44.0,288,yes,72,72,72,72,18,0
A03,E,43.3,288,no (cue 783),0,0,0,0,15,0
A04,T,40.1,288,yes,72,72,72,72,26,0
A04,E,44.0,288,no (cue 783),0,0,0,0,60,0
A05,T,45.7,288,yes,72,72,72,72,26,0
A05,E,45.3,288,no (cue 783),0,0,0,0,12,0
A06,T,45.3,288,yes,72,72,72,72,69,0
A06,E,44.4,288,no (cue 783),0,0,0,0,73,0
A07,T,45.4,288,yes,72,72,72,72,17,0
A07,E,44.9,288,no (cue 783),0,0,0,0,11,0
A08,T,45.0,288,yes,72,72,72,72,24,0
A08,E,45.9,288,no (cue 783),0,0,0,0,17,0
A09,T,44.9,288,yes,72,72,72,72,51,0
A09,E,45.0,288,no (cue 783),0,0,0,0,24,0
