subject,seed,accuracy,kappa,macro_f1
A01,0,0.6180555555555556,0.4907407407407407,0.5563889678414934
A01,1,0.5868055555555556,0.44907407407407407,0.5248874407582939
A01,2,0.6736111111111112,0.5648148148148149,0.6226527551200342
A02,0,0.3125,0.08333333333333337,0.2530210014195067
A02,1,0.2673611111111111,0.02314814814814814,0.2316170816821435
A02,2,0.3159722222222222,0.08796296296296291,0.24491736483434745
A03,0,0.6597222222222222,0.5462962962962963,0.6623334194853123
A03,1,0.5694444444444444,0.42592592592592593,0.5471116010050727
A03,2,0.7013888888888888,0.6018518518518519,0.6926135348615285
A04,0,0.3715277777777778,0.1620370370370371,0.32162081301162365
A04,1,0.3611111111111111,0.14814814814814814,0.2935619365750672
A04,2,0.3506944444444444,0.1342592592592593,0.3207642932079733
A05,0,0.2743055555555556,0.03240740740740744,0.16136229687631556
A05,1,0.25,0.0,0.10731244064577398
A05,2,0.2534722222222222,0.00462962962962965,0.10790195719773185
A06,0,0.2708333333333333,0.02777777777777779,0.21225905392209793
A06,1,0.2708333333333333,0.02777777777777779,0.18046727655336042
A06,2,0.3159722222222222,0.08796296296296291,0.2504966824760829
A07,0,0.3402777777777778,0.12037037037037035,0.3106392297274334
A07,1,0.3020833333333333,0.06944444444444442,0.2610342885666381
A07,2,0.3090277777777778,0.07870370370370372,0.2751050032842491
A08,0,0.6041666666666666,0.4722222222222222,0.6017263406383656
A08,1,0.6770833333333334,0.5694444444444444,0.679719562243502
A08,2,0.5972222222222222,0.4629629629629629,0.5772075345937554
A09,0,0.6388888888888888,0.5185185185185186,0.6325356840972012
A09,1,0.5625,0.41666666666666663,0.544391815238092
A09,2,0.6041666666666666,0.4722222222222222,0.5823874687259643
