subject,seed,accuracy,kappa,macro_f1
A01,0,0.7951388888888888,0.7268518518518519,0.7940472542990529
A01,1,0.8298611111111112,0.7731481481481481,0.8276627998851364
A01,2,0.7673611111111112,0.6898148148148149,0.7663932362479102
A01,3,0.84375,0.7916666666666666,0.8441498909176254
A01,4,0.8368055555555556,0.7824074074074074,0.8352264216449788
A02,0,0.4861111111111111,0.31481481481481477,0.45994924089994516
A02,1,0.4756944444444444,0.30092592592592593,0.46267253361047367
A02,2,0.5173611111111112,0.3564814814814815,0.4964677844723833
A02,3,0.4513888888888889,0.2685185185185185,0.4121527777777778
A02,4,0.4166666666666667,0.2222222222222222,0.38656127801947054
A03,0,0.8958333333333334,0.8611111111111112,0.895315734989648
A03,1,0.8888888888888888,0.8518518518518519,0.8872807845328059
A03,2,0.8576388888888888,0.8101851851851851,0.848516102300793
A03,3,0.9131944444444444,0.8842592592592593,0.9109754436588253
A03,4,0.9305555555555556,0.9074074074074074,0.9303326255753139
A04,0,0.5763888888888888,0.43518518518518523,0.5656595583066171
A04,1,0.5659722222222222,0.4212962962962963,0.5645394431529481
A04,2,0.5694444444444444,0.42592592592592593,0.5607423893515764
A04,3,0.6145833333333334,0.48611111111111116,0.613529420724696
A04,4,0.6493055555555556,0.5324074074074074,0.6474191203198837
A05,0,0.5034722222222222,0.3379629629629629,0.4717485173636586
A05,1,0.5729166666666666,0.4305555555555556,0.5444129065408783
A05,2,0.5902777777777778,0.4537037037037037,0.5708364461354922
A05,3,0.53125,0.375,0.5151080125218057
A05,4,0.5208333333333334,0.36111111111111116,0.5046449811733401
A06,0,0.4756944444444444,0.30092592592592593,0.4494198314615309
A06,1,0.4965277777777778,0.3287037037037037,0.49173907131735345
A06,2,0.5243055555555556,0.3657407407407407,0.5169828920731949
A06,3,0.5520833333333334,0.4027777777777778,0.5511974226123999
A06,4,0.4479166666666667,0.26388888888888884,0.41043221201045826
A07,0,0.7395833333333334,0.6527777777777778,0.7352207298796517
A07,1,0.6423611111111112,0.5231481481481481,0.6418740480733216
A07,2,0.6840277777777778,0.5787037037037037,0.6677440614940615
A07,3,0.7256944444444444,0.6342592592592593,0.727514774686038
A07,4,0.7465277777777778,0.662037037037037,0.7449453272295775
A08,0,0.78125,0.7083333333333333,0.7701642990871972
A08,1,0.7986111111111112,0.7314814814814814,0.7953911623153058
A08,2,0.78125,0.7083333333333333,0.7767925187784418
A08,3,0.7847222222222222,0.712962962962963,0.779523473739009
A08,4,0.7951388888888888,0.7268518518518519,0.7913115053960125
A09,0,0.8229166666666666,0.7638888888888888,0.8248751070498969
A09,1,0.7847222222222222,0.712962962962963,0.7850036149725591
A09,2,0.8194444444444444,0.7592592592592593,0.8192245437681543
A09,3,0.8298611111111112,0.7731481481481481,0.829205643488331
A09,4,0.8576388888888888,0.8101851851851851,0.8582977551421755
