subject,model,accuracy,kappa,macro_f1
A01,Ours,0.7361111111111112,0.6481481481481481,0.7330190705123657
A01,braindecode,0.7222222222222222,0.6296296296296297,0.7166543167654659
A02,Ours,0.3854166666666667,0.18055555555555558,0.3942036697048526
A02,braindecode,0.4201388888888889,0.22685185185185186,0.4274926467969946
A03,Ours,0.8854166666666666,0.8472222222222222,0.8849470535002768
A03,braindecode,0.8958333333333334,0.8611111111111112,0.8956086780484512
A04,Ours,0.375,0.16666666666666663,0.353853273576959
A04,braindecode,0.3263888888888889,0.10185185185185186,0.2993869262158307
A05,Ours,0.3854166666666667,0.18055555555555558,0.38252903555513323
A05,braindecode,0.3784722222222222,0.17129629629629628,0.37734062195299045
A06,Ours,0.3715277777777778,0.1620370370370371,0.3665569959708746
A06,braindecode,0.3680555555555556,0.15740740740740744,0.36176456048466465
A07,Ours,0.6805555555555556,0.5740740740740741,0.6801411369145359
A07,braindecode,0.6597222222222222,0.5462962962962963,0.6692635722486469
A08,Ours,0.8125,0.75,0.8125674407694112
A08,braindecode,0.8298611111111112,0.7731481481481481,0.829684000639883
A09,Ours,0.84375,0.7916666666666666,0.8423004070868696
A09,braindecode,0.8333333333333334,0.7777777777777778,0.8319717042350673
